<unk>	0
<pad>	0
[CLS]	0
[SEP]	0
[MASK]	0
▁i	-2.51818
▁feel	-3.37803
▁and	-3.55142
▁to	-3.60991
▁the	-3.683
▁a	-3.92801
▁that	-4.1752
▁feeling	-4.18419
▁of	-4.21492
s	-4.25932
▁my	-4.36163
▁in	-4.56094
ing	-4.59142
▁it	-4.66004
▁like	-4.73584
▁so	-4.8738
▁im	-4.9026
▁for	-4.91413
▁me	-4.95063
▁have	-4.97297
▁was	-4.99249
▁but	-5.00865
ly	-5.06662
▁am	-5.07595
▁this	-5.07848
▁with	-5.10721
▁be	-5.14908
▁on	-5.17251
▁not	-5.18895
▁is	-5.21534
▁about	-5.22661
ed	-5.34502
▁you	-5.3657
▁as	-5.40834
▁just	-5.43527
▁when	-5.47929
▁at	-5.48038
▁or	-5.58055
▁all	-5.65111
▁because	-5.67745
▁more	-5.70149
▁do	-5.72695
▁t	-5.73982
▁up	-5.83325
▁can	-5.84593
▁really	-5.87086
▁are	-5.91486
▁know	-5.92656
▁by	-5.92957
▁very	-5.95393
▁out	-5.98195
▁been	-5.9834
▁if	-5.99777
▁time	-6.02449
▁get	-6.02652
▁myself	-6.03337
▁what	-6.03882
d	-6.05849
▁how	-6.07701
ve	-6.10103
▁little	-6.10783
▁had	-6.1247
▁he	-6.1333
▁will	-6.13698
▁they	-6.15462
▁now	-6.15909
▁from	-6.16755
y	-6.18316
▁people	-6.19177
▁would	-6.1949
▁being	-6.22084
▁want	-6.22668
▁s	-6.25235
▁	-6.25319
▁who	-6.25431
▁them	-6.25547
▁her	-6.26593
▁some	-6.31605
▁think	-6.32174
▁one	-6.33013
▁still	-6.33326
▁there	-6.34677
▁even	-6.35885
▁an	-6.36126
▁him	-6.36886
▁m	-6.38827
▁life	-6.41155
▁we	-6.42147
e	-6.4223
▁bit	-6.45935
▁make	-6.46539
▁could	-6.47713
▁no	-6.48309
▁love	-6.49103
▁something	-6.49814
▁much	-6.51898
▁things	-6.54237
▁going	-6.5442
▁its	-6.54696
ch	-6.54963
▁she	-6.55082
▁dont	-6.55496
▁way	-6.58082
▁than	-6.61906
▁day	-6.63273
▁go	-6.65951
▁too	-6.66705
▁see	-6.67859
▁back	-6.69175
▁has	-6.69786
▁don	-6.6986
▁need	-6.7193
▁good	-6.74076
▁pretty	-6.74716
▁over	-6.74918
▁your	-6.75532
▁whi	-6.75614
▁into	-6.77798
▁his	-6.81719
▁right	-6.81891
▁their	-6.82654
▁always	-6.82984
▁these	-6.84879
t	-6.8602
▁work	-6.88032
▁other	-6.88216
▁say	-6.891
▁also	-6.89844
er	-6.91275
▁today	-6.91998
▁should	-6.9316
▁then	-6.93648
▁did	-6.94548
▁after	-6.94939
▁most	-6.94945
nt	-6.95478
▁again	-6.9846
▁help	-6.98465
▁around	-7.00051
▁were	-7.00662
▁cant	-7.00798
▁made	-7.03835
▁though	-7.04527
▁through	-7.08813
▁well	-7.09132
▁here	-7.09179
▁got	-7.09915
▁our	-7.09965
▁down	-7.11137
▁someone	-7.13204
▁never	-7.13501
▁didnt	-7.13666
▁those	-7.13799
▁where	-7.14114
▁feelings	-7.14585
